"","unique_stations","station_name","latitude","longitude","street_address","zip","charger_type","num_outlets"
"1","METRO NASHVILLE","METRO NASHVILLE FULTON GARAGE 1",36.153492,-86.76732,"800 2nd Avenue South","37210","Metro",2
"2","Action Nissan","Action Nissan",36.110606,-86.743585,"307 Thompson Ln","37211","Car dealer",1
"3","Downtown Nashville","Downtown Nashville Nissan",36.191053,-86.793132,"25 Vantage Way","37228","Car dealer",1
"4","Vanderbilt University","Vanderbilt University - Surface Lot",36.148816,-86.799577,"124 21st Ave S","37212","Hospital",1
"5","BMW NASHVILLE","BMW NASHVILLE STATION 01",36.104589,-86.761033,"4013 Armory Oaks Dr","37204","Car dealer",1
"6","METRO NASHVILLE","METRO NASHVILLE MIDTOWN HILLS",36.137258,-86.788609,"1441 12th Ave S","37203","Metro",1
"7","METRO NASHVILLE","METRO NASHVILLE LENTZ 3",36.15557,-86.813431,"2500 Charlotte Ave","37203","Metro",3
"8","METRO NASHVILLE","METRO NASHVILLE FULTON GARAGE 5",36.153934,-86.767472,"1st Ave S","37210","Metro",1
"9","METRO NASHVILLE","METRO NASHVILLE DOUGLAS HS 2",36.176117,-86.762044,"621 Howerton St","37206","Metro",1
"10","GARAGE RAMP","GARAGE RAMP PINNACLE 1",36.160453,-86.774698,"150 3rd Ave S 150 3rd Ave South","37201","Other",2
"11","Publix #1211","Publix #1211",36.12718,-86.84697,"4324 Harding Pike","37205","Grocery store",1
"12","METRO NASHVILLE","METRO NASHVILLE MNFD STATION 19",36.156447,-86.815539,"524b 26th Ave N","37209","Metro",1
"13","METRO NASHVILLE","METRO NASHVILLE BELLEVUE LIB",36.06949,-86.936094,"720 Baugh Rd","37221","Metro",1
"14","METRO NASHVILLE","METRO NASHVILLE NFD 20",36.091731,-86.826441,"1630 Harding Pl","37215","Metro",1
"15","LAKESBELLEVUE LAKESBELLEVUE","LAKESBELLEVUE LAKESBELLEVUE",36.079471,-86.908649,"200 Erin Ln","37221","Apartment complex",1
"16","GERMANTOWN1 IMT","GERMANTOWN1 IMT GERMANTOWN2",36.17576,-86.784768,"1100 3rd Ave N","37208","Other",2
"17","BNA EXPRESS","BNA EXPRESS STATION 01",36.110741,-86.672007,"115 Knapp Blvd","37217","Airport",2
"18","Marriott Nashville","Marriott Nashville Airport",36.146941,-86.692287,"600 Marriott Drive","37214","Airport",1
"19","Loews Vanderbilt","Loews Vanderbilt Hotel",36.150544,-86.802403,"2100 West End Avenue","37203","Hospital",1
"20","Midtown Cafe","Midtown Cafe",36.151923,-86.79686,"102 19th Avenue S","37203","Other",1
"21","Lipscomb University","Lipscomb University",36.105597,-86.798058,"One University park Drive","37204","Other",1
"22","TERM GARAGE","TERM GARAGE 2 MNAA PARK GA 2",36.130497,-86.667155,"Nashville","37214","Airport",3
"23","Hilton Nashville","Hilton Nashville Downtown - Tesla Destination",36.159962,-86.776722,"121 4th Ave S","37201","Tesla",1
"24","Urban Cookhouse","Urban Cookhouse Nashville - Tesla Destination",36.150317,-86.796647,"1907 Broadway","37203","Tesla",1
"25","The Hermitage","The Hermitage Hotel - Tesla Destination",36.163737,-86.782516,"231 6th Ave N","37219","Tesla",1
"26","Gaylord Opryland","Gaylord Opryland Resort & Convention Center - Tesla Destination",36.211385,-86.695925,"2800 Opryland Dr","37214","Tesla",1
"27","Thompson Nashville","Thompson Nashville - Tesla Destination",36.152342,-86.78409,"401 11th Ave S","37203","Tesla",1
"28","Hotel Preston","Hotel Preston - Tesla Destination",36.141968,-86.70126,"733 Briley Pkwy","37217","Tesla",1
"29","Fairfield Inn","Fairfield Inn & Suites Nashville Downtown/The Gulch - Tesla Destination",36.149966,-86.781738,"901 Division St","37203","Tesla",1
"30","METRO NASHVILLE","METRO NASHVILLE 2",36.142179,-86.739249,"610 Murfreesboro Pike","37210","Metro",5
"31","METRO NASHVILLE","METRO NASHVILLE WEST PRECINCT",36.151278,-86.855062,"5500 Charlotte Pike","37209","Metro",1
