GEOID,NAME,medincE,medincM
47037015631,"Census Tract 156.31, Davidson County, Tennessee",75579,9632
47037015804,"Census Tract 158.04, Davidson County, Tennessee",45129,4261
47037017701,"Census Tract 177.01, Davidson County, Tennessee",134786,28746
47037017702,"Census Tract 177.02, Davidson County, Tennessee",107813,16031
47037018301,"Census Tract 183.01, Davidson County, Tennessee",87591,13566
47037018302,"Census Tract 183.02, Davidson County, Tennessee",96576,14199
47037018409,"Census Tract 184.09, Davidson County, Tennessee",65887,4021
47037018410,"Census Tract 184.10, Davidson County, Tennessee",58028,5218
47019070400,"Census Tract 704, Carter County, Tennessee",37550,6926
47019070600,"Census Tract 706, Carter County, Tennessee",28500,8333
47019071100,"Census Tract 711, Carter County, Tennessee",38281,13079
47019071700,"Census Tract 717, Carter County, Tennessee",40434,13766
47019070100,"Census Tract 701, Carter County, Tennessee",30149,5931
47019070200,"Census Tract 702, Carter County, Tennessee",46976,8426
47019071200,"Census Tract 712, Carter County, Tennessee",35725,6110
47019071500,"Census Tract 715, Carter County, Tennessee",29612,6861
47019071300,"Census Tract 713, Carter County, Tennessee",42259,7724
47019071000,"Census Tract 710, Carter County, Tennessee",32143,14500
47019070300,"Census Tract 703, Carter County, Tennessee",31458,5623
47019070700,"Census Tract 707, Carter County, Tennessee",49038,12375
47019070800,"Census Tract 708, Carter County, Tennessee",44623,3415
47019071400,"Census Tract 714, Carter County, Tennessee",34073,3848
47019071600,"Census Tract 716, Carter County, Tennessee",27500,9998
47019070900,"Census Tract 709, Carter County, Tennessee",47359,8882
47019070500,"Census Tract 705, Carter County, Tennessee",40451,7801
47057500200,"Census Tract 5002, Grainger County, Tennessee",52644,4835
47057500300,"Census Tract 5003, Grainger County, Tennessee",43174,6573
47057500100,"Census Tract 5001, Grainger County, Tennessee",42656,5596
47093006402,"Census Tract 64.02, Knox County, Tennessee",57099,4581
47093006403,"Census Tract 64.03, Knox County, Tennessee",60789,8109
47093006501,"Census Tract 65.01, Knox County, Tennessee",48100,12886
47093006502,"Census Tract 65.02, Knox County, Tennessee",54224,7096
47093006600,"Census Tract 66, Knox County, Tennessee",39000,7468
47093006700,"Census Tract 67, Knox County, Tennessee",24766,4172
47093006800,"Census Tract 68, Knox County, Tennessee",14534,5782
47093006900,"Census Tract 69, Knox County, Tennessee",22048,2394
47093007000,"Census Tract 70, Knox County, Tennessee",22732,8555
47093007100,"Census Tract 71, Knox County, Tennessee",97917,32086
47097050503,"Census Tract 505.03, Lauderdale County, Tennessee",47679,8950
47133950400,"Census Tract 9504, Overton County, Tennessee",51544,12322
47133950500,"Census Tract 9505, Overton County, Tennessee",41743,10258
47133950600,"Census Tract 9506, Overton County, Tennessee",35081,10426
47165020902,"Census Tract 209.02, Sumner County, Tennessee",45625,9585
47165020800,"Census Tract 208, Sumner County, Tennessee",38426,5786
47165021103,"Census Tract 211.03, Sumner County, Tennessee",69250,11713
47165020700,"Census Tract 207, Sumner County, Tennessee",43956,4008
47163042600,"Census Tract 426, Sullivan County, Tennessee",42308,8772
47163043000,"Census Tract 430, Sullivan County, Tennessee",40913,6781
47129110100,"Census Tract 1101, Morgan County, Tennessee",31736,7078
47129110500,"Census Tract 1105, Morgan County, Tennessee",39870,16806
47129110300,"Census Tract 1103, Morgan County, Tennessee",50064,9145
47129110400,"Census Tract 1104, Morgan County, Tennessee",43063,6818
47129110200,"Census Tract 1102, Morgan County, Tennessee",40608,4417
47061955000,"Census Tract 9550, Grundy County, Tennessee",31429,4806
47061955300,"Census Tract 9553, Grundy County, Tennessee",40868,9105
47061955100,"Census Tract 9551, Grundy County, Tennessee",51974,13441
47061955200,"Census Tract 9552, Grundy County, Tennessee",42435,4260
47079969000,"Census Tract 9690, Henry County, Tennessee",46044,3843
47079969100,"Census Tract 9691, Henry County, Tennessee",44113,6300
47079969300,"Census Tract 9693, Henry County, Tennessee",28350,9027
47079969500,"Census Tract 9695, Henry County, Tennessee",32394,5084
47079969600,"Census Tract 9696, Henry County, Tennessee",45682,9219
47079969700,"Census Tract 9697, Henry County, Tennessee",45236,8075
47079969200,"Census Tract 9692, Henry County, Tennessee",42750,9089
47079969800,"Census Tract 9698, Henry County, Tennessee",40169,4105
47079969400,"Census Tract 9694, Henry County, Tennessee",26429,4049
47029980100,"Census Tract 9801, Cocke County, Tennessee",NA,NA
47033961000,"Census Tract 9610, Crockett County, Tennessee",46094,5467
47097050100,"Census Tract 501, Lauderdale County, Tennessee",43750,19060
47097050600,"Census Tract 506, Lauderdale County, Tennessee",35111,8637
47097050200,"Census Tract 502, Lauderdale County, Tennessee",39854,2262
47097050300,"Census Tract 503, Lauderdale County, Tennessee",42788,12488
47097050400,"Census Tract 504, Lauderdale County, Tennessee",50893,11019
47099960600,"Census Tract 9606, Lawrence County, Tennessee",42045,7358
47099960100,"Census Tract 9601, Lawrence County, Tennessee",48492,2644
47097050504,"Census Tract 505.04, Lauderdale County, Tennessee",31881,3176
47097050505,"Census Tract 505.05, Lauderdale County, Tennessee",28672,11102
47097050506,"Census Tract 505.06, Lauderdale County, Tennessee",53958,8063
47099960401,"Census Tract 9604.01, Lawrence County, Tennessee",40761,4682
47103975601,"Census Tract 9756.01, Lincoln County, Tennessee",59848,9442
47103975602,"Census Tract 9756.02, Lincoln County, Tennessee",52769,4868
47157021520,"Census Tract 215.20, Shelby County, Tennessee",96899,16399
47157021721,"Census Tract 217.21, Shelby County, Tennessee",29475,2796
47157021732,"Census Tract 217.32, Shelby County, Tennessee",31360,3608
47157021751,"Census Tract 217.51, Shelby County, Tennessee",75958,18154
47157022220,"Census Tract 222.20, Shelby County, Tennessee",20809,10290
47157010000,"Census Tract 100, Shelby County, Tennessee",26766,8347
47157008110,"Census Tract 81.10, Shelby County, Tennessee",18986,3830
47157008120,"Census Tract 81.20, Shelby County, Tennessee",26094,6053
47157020210,"Census Tract 202.10, Shelby County, Tennessee",56917,11492
47157010110,"Census Tract 101.10, Shelby County, Tennessee",21286,5903
47157010630,"Census Tract 106.30, Shelby County, Tennessee",25167,4943
47157020400,"Census Tract 204, Shelby County, Tennessee",57875,10806
47157020541,"Census Tract 205.41, Shelby County, Tennessee",55270,8568
47157020542,"Census Tract 205.42, Shelby County, Tennessee",28567,7048
47157020622,"Census Tract 206.22, Shelby County, Tennessee",62780,11231
47157021113,"Census Tract 211.13, Shelby County, Tennessee",64577,5641
47157021342,"Census Tract 213.42, Shelby County, Tennessee",60891,8759
47157021530,"Census Tract 215.30, Shelby County, Tennessee",131810,7431
47157021611,"Census Tract 216.11, Shelby County, Tennessee",91932,17060
47157021731,"Census Tract 217.31, Shelby County, Tennessee",41089,3242
47157021752,"Census Tract 217.52, Shelby County, Tennessee",67841,14531
47065010104,"Census Tract 101.04, Hamilton County, Tennessee",59250,19927
47065010201,"Census Tract 102.01, Hamilton County, Tennessee",79063,20391
47065010202,"Census Tract 102.02, Hamilton County, Tennessee",54889,9079
47065010303,"Census Tract 103.03, Hamilton County, Tennessee",71250,9486
47065010304,"Census Tract 103.04, Hamilton County, Tennessee",68464,8190
47065010305,"Census Tract 103.05, Hamilton County, Tennessee",73488,18293
47065010306,"Census Tract 103.06, Hamilton County, Tennessee",43722,4756
47065010307,"Census Tract 103.07, Hamilton County, Tennessee",47935,7988
47065010434,"Census Tract 104.34, Hamilton County, Tennessee",67530,13743
47065010435,"Census Tract 104.35, Hamilton County, Tennessee",45438,9231
47065010901,"Census Tract 109.01, Hamilton County, Tennessee",52644,3365
47065010902,"Census Tract 109.02, Hamilton County, Tennessee",50865,13680
47065010903,"Census Tract 109.03, Hamilton County, Tennessee",54338,12095
47065011001,"Census Tract 110.01, Hamilton County, Tennessee",54238,5488
47065011002,"Census Tract 110.02, Hamilton County, Tennessee",106846,8869
47065011203,"Census Tract 112.03, Hamilton County, Tennessee",85391,14914
47065011204,"Census Tract 112.04, Hamilton County, Tennessee",59726,6979
47065011323,"Census Tract 113.23, Hamilton County, Tennessee",76382,7838
47165020300,"Census Tract 203, Sumner County, Tennessee",43540,3013
47165020901,"Census Tract 209.01, Sumner County, Tennessee",63500,10992
47165021002,"Census Tract 210.02, Sumner County, Tennessee",82924,5350
47093005602,"Census Tract 56.02, Knox County, Tennessee",69196,14194
47163040500,"Census Tract 405, Sullivan County, Tennessee",31743,7542
47163042100,"Census Tract 421, Sullivan County, Tennessee",46814,10832
47163042801,"Census Tract 428.01, Sullivan County, Tennessee",44306,13865
47163043600,"Census Tract 436, Sullivan County, Tennessee",69029,6858
47163042900,"Census Tract 429, Sullivan County, Tennessee",66034,9025
47163043500,"Census Tract 435, Sullivan County, Tennessee",62545,11484
47163041400,"Census Tract 414, Sullivan County, Tennessee",45250,9186
47163041800,"Census Tract 418, Sullivan County, Tennessee",34603,6779
47163042701,"Census Tract 427.01, Sullivan County, Tennessee",31619,7447
47163040700,"Census Tract 407, Sullivan County, Tennessee",38958,7163
47163041000,"Census Tract 410, Sullivan County, Tennessee",79196,12076
47163041500,"Census Tract 415, Sullivan County, Tennessee",78661,10765
47163041600,"Census Tract 416, Sullivan County, Tennessee",47292,12470
47163041700,"Census Tract 417, Sullivan County, Tennessee",38304,5888
47163042000,"Census Tract 420, Sullivan County, Tennessee",45353,3750
47163040300,"Census Tract 403, Sullivan County, Tennessee",34019,6541
47163041200,"Census Tract 412, Sullivan County, Tennessee",53007,9568
47163042300,"Census Tract 423, Sullivan County, Tennessee",59109,6620
47163042400,"Census Tract 424, Sullivan County, Tennessee",46230,6410
47163042702,"Census Tract 427.02, Sullivan County, Tennessee",54306,12880
47163040200,"Census Tract 402, Sullivan County, Tennessee",20112,4659
47163040800,"Census Tract 408, Sullivan County, Tennessee",41940,4960
47163042200,"Census Tract 422, Sullivan County, Tennessee",51186,6419
47163042500,"Census Tract 425, Sullivan County, Tennessee",49320,4604
47163043100,"Census Tract 431, Sullivan County, Tennessee",45366,6653
47163041100,"Census Tract 411, Sullivan County, Tennessee",51048,10079
47163042802,"Census Tract 428.02, Sullivan County, Tennessee",33561,4335
47163041900,"Census Tract 419, Sullivan County, Tennessee",46098,8023
