GEOID,NAME,medincE,medincM
47165,"Sumner County, Tennessee",67204,1447
47169,"Trousdale County, Tennessee",56321,3640
47027,"Clay County, Tennessee",32167,8444
47157,"Shelby County, Tennessee",51657,816
47077,"Henderson County, Tennessee",43305,3851
47089,"Jefferson County, Tennessee",49139,2791
47153,"Sequatchie County, Tennessee",49370,5747
47017,"Carroll County, Tennessee",42637,2119
47037,"Davidson County, Tennessee",60388,908
47135,"Perry County, Tennessee",41034,5221
47121,"Meigs County, Tennessee",49167,3527
47075,"Haywood County, Tennessee",37905,3688
47125,"Montgomery County, Tennessee",57541,1667
47061,"Grundy County, Tennessee",40516,3190
47029,"Cocke County, Tennessee",36716,2462
47041,"DeKalb County, Tennessee",45511,4645
47101,"Lewis County, Tennessee",37277,4487
47131,"Obion County, Tennessee",39615,1911
47167,"Tipton County, Tennessee",61291,2764
47045,"Dyer County, Tennessee",44185,2440
47065,"Hamilton County, Tennessee",55070,1142
47139,"Polk County, Tennessee",43306,2371
47185,"White County, Tennessee",41998,3003
47163,"Sullivan County, Tennessee",46684,1277
47107,"McMinn County, Tennessee",43285,2849
47117,"Marshall County, Tennessee",53197,3789
47143,"Rhea County, Tennessee",42206,3492
47151,"Scott County, Tennessee",38864,4131
47001,"Anderson County, Tennessee",50392,2069
47049,"Fentress County, Tennessee",36520,2175
47053,"Gibson County, Tennessee",43171,2063
47069,"Hardeman County, Tennessee",40304,3058
47105,"Loudon County, Tennessee",58065,2600
47149,"Rutherford County, Tennessee",67429,1289
47159,"Smith County, Tennessee",48068,2617
47189,"Wilson County, Tennessee",75991,1688
47171,"Unicoi County, Tennessee",41890,3607
47177,"Warren County, Tennessee",41125,1585
47179,"Washington County, Tennessee",48334,1741
47183,"Weakley County, Tennessee",39937,2236
47005,"Benton County, Tennessee",37512,2826
47007,"Bledsoe County, Tennessee",44122,3447
47013,"Campbell County, Tennessee",39803,2120
47015,"Cannon County, Tennessee",55330,3877
47083,"Houston County, Tennessee",42711,3745
47119,"Maury County, Tennessee",57170,2496
47031,"Coffee County, Tennessee",50351,2402
47047,"Fayette County, Tennessee",60711,3792
47067,"Hancock County, Tennessee",30136,5343
47073,"Hawkins County, Tennessee",41924,1887
47091,"Johnson County, Tennessee",36004,2772
47103,"Lincoln County, Tennessee",49485,3444
47111,"Macon County, Tennessee",37430,2770
47127,"Moore County, Tennessee",57708,7866
47147,"Robertson County, Tennessee",63307,2468
47051,"Franklin County, Tennessee",51585,2018
47009,"Blount County, Tennessee",56667,1802
47021,"Cheatham County, Tennessee",61913,2445
47019,"Carter County, Tennessee",38092,1941
47057,"Grainger County, Tennessee",44064,3238
47055,"Giles County, Tennessee",49614,3204
47097,"Lauderdale County, Tennessee",39896,2136
47099,"Lawrence County, Tennessee",43614,1679
47113,"Madison County, Tennessee",48161,1351
47115,"Marion County, Tennessee",49432,3145
47133,"Overton County, Tennessee",37197,3092
47137,"Pickett County, Tennessee",39554,3640
47181,"Wayne County, Tennessee",41427,3360
47187,"Williamson County, Tennessee",112962,2976
47003,"Bedford County, Tennessee",50415,2235
47059,"Greene County, Tennessee",42595,1893
47035,"Cumberland County, Tennessee",45958,1849
47175,"Van Buren County, Tennessee",42724,8367
47025,"Claiborne County, Tennessee",36835,2396
47081,"Hickman County, Tennessee",43596,2469
47085,"Humphreys County, Tennessee",45667,1982
47141,"Putnam County, Tennessee",44259,2192
47155,"Sevier County, Tennessee",49610,2373
47161,"Stewart County, Tennessee",45809,4669
47023,"Chester County, Tennessee",51946,4106
47039,"Decatur County, Tennessee",42031,4307
47087,"Jackson County, Tennessee",35207,3383
47109,"McNairy County, Tennessee",39161,2758
47145,"Roane County, Tennessee",53367,2290
47011,"Bradley County, Tennessee",51331,1970
47063,"Hamblen County, Tennessee",43619,1941
47173,"Union County, Tennessee",44671,4686
47071,"Hardin County, Tennessee",40682,3035
47043,"Dickson County, Tennessee",53076,3374
47129,"Morgan County, Tennessee",41333,3049
47123,"Monroe County, Tennessee",42429,3935
47079,"Henry County, Tennessee",40502,2486
47033,"Crockett County, Tennessee",44717,4089
47095,"Lake County, Tennessee",35191,4248
47093,"Knox County, Tennessee",57470,789
